,Manufacturer,Model,Year,Motor Liters,Milage,Price
290,Audi,Q5,2017,2.0D,115 tūkst.,"28,900  €"
291,Audi,A4,2014,3.0D,229 tūkst.,"11,450  €"
292,Audi,Allroad,2013,2.0D,272 tūkst.,"10,900  €"
293,Audi,420,2015,2.0D,169 tūkst.,"14,290  € maiņai"
294,Audi,Talisman,2016,1.6D,149 tūkst.,"14,290  € maiņai"
295,Audi,Q3,2012,2.0D,276 tūkst.,"10,000  €"
296,Audi,A6,-,-,-,pērku 
297,Audi,Q7,-,-,-,pērku 
298,Audi,A3,-,-,-,pērku 
299,Audi,A4,-,-,-,pērku 
300,Audi,Allroad,2012,3.0D,234 tūkst.,"15,990  €"
301,Audi,A6,2015,3.0D,205 tūkst.,"20,490  €"
302,Audi,S4,1992,2.2,-,"7,500  €"
303,Audi,A8,2015,3.0D,187 tūkst.,"35,000  €"
304,Audi,A7,2015,3.0D,161 tūkst.,"22,950  €"
305,Audi,Q7,-,-,-,pērku 
306,Audi,Q7,-,-,-,pērku 
307,Audi,A6,-,-,-,pērku 
308,Audi,A6,-,-,-,pērku 
309,Audi,A6,-,-,-,pērku 
310,Audi,Q5,-,-,-,pērku 
311,Audi,A4,-,-,-,pērku 
312,Audi,A3,-,-,-,pērku 
313,Audi,A3,-,-,-,pērku 
314,Audi,Allroad,-,-,-,pērku 
315,Audi,A8,-,-,-,pērku 
316,Audi,A7,2015,2.0,176 tūkst.,"24,950  €"
317,Audi,A4,2015,1.8,65 tūkst.,"17,900  €"
318,Audi,A4,2008,2.7D,377 tūkst.,"2,300  €"
319,Audi,A6,2016,3.0D,215 tūkst.,"18,900  €"
320,Audi,E-tron,-,-,-,pērku 
321,Audi,Q8,-,-,-,pērku 
322,Audi,Q8,-,-,-,pērku 
323,Audi,Q7,-,-,-,pērku 
324,Audi,Q7,-,-,-,pērku 
325,Audi,Allroad,2010,2.7D,326 tūkst.,"8,750  €"
326,Audi,A4,2009,2.0D,278 tūkst.,"7,400  €"
327,Audi,A7,2018,3.0D,80 tūkst.,"53,990  €"
328,Audi,A6,2015,2.0D,206 tūkst.,"15,490  €"
329,Audi,A3,2016,1.6D,-,"9,990  €"
330,Audi,A2,2000,1.4,-,"1,990  €"
331,Audi,A7,2012,3.0D,268 tūkst.,"20,000  €"
332,Audi,A4,2003,1.9D,305 tūkst.,"2,190  €"
333,Audi,A6,2002,2.5D,372 tūkst.,"1,600  €"
334,Audi,A6,2017,3.0D,142 tūkst.,"27,900  €"
335,Audi,A4,2005,2.0,-,"2,890  €"
336,Audi,A6,2005,3.0D,-,"3,999  €"
337,Audi,A6,2006,2.0D,289 tūkst.,"3,690  €"
338,Audi,A3,2008,1.9D,301 tūkst.,"3,990  €"
339,Audi,A6,2005,3.0D,330 tūkst.,"2,700  €"
340,Audi,Q7,2015,3.0D,214 tūkst.,"35,490  €"
341,Audi,90,1987,2.3,233 tūkst.,"2,890  €"
342,Audi,A5,2011,2.0D,-,"9,990  €"
343,Audi,A6,2011,3.0D,-,"11,290  €"
344,Audi,A6,2012,2.0D,-,"10,890  €"
345,Audi,A6,2010,3.0D,-,"7,950  €"
346,Audi,A6,2006,2.7D,318 tūkst.,"4,500  €"
347,Audi,A4,2006,2.0D,207 tūkst.,"5,490  €"
348,Audi,Q5,2010,2.0D,197 tūkst.,"14,000  €"
349,Audi,A4,2012,2.0D,149 tūkst.,"12,400  €"
350,Audi,A6,2008,2.7D,374 tūkst.,"3,750  € maiņai"
351,Audi,A4,2010,1.8,277 tūkst.,"5,690  €"
352,Audi,Allroad,2017,2.0D,192 tūkst.,"21,000  € maiņai"
353,Audi,A6,2016,3.0D,-,"16,500  €"
354,Audi,Q3,2012,2.0D,178 tūkst.,"10,900  €"
355,Audi,Q7,2019,3.0D,173 tūkst.,"36,990  €"
356,Audi,Q7,2020,3.0D,70 tūkst.,"51,990  €"
357,Audi,Q7,2009,4.2D,266 tūkst.,"14,990  €"
358,Audi,A4,2008,3.0D,305 tūkst.,"6,200  €"
